State-Name,State-Abbreviation,Metro-Name,Regular-Current,Regular-Yesterday,Regular-Change,Mid-Grade-Current,Mid-Grade-Yesterday,Mid-Grade-Change,Premium-Current,Premium-Yesterday,Premium-Change,Diesel-Current,Diesel-Yesterday,Diesel-Change,-Current,-Yesterday,-Change,Currency,Unit,Date
California,CA,Los Angeles-Long Beach,6.1844,6.1655,0.01890000000000036,6.402,6.3782,0.023800000000000487,6.5754,6.5542,0.02120000000000033,8.3823,8.3643,0.018000000000000682,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Madera-Chowchilla,6.1423,6.1238,0.018499999999999517,6.4107,6.4109,-0.00019999999999953388,6.6277,6.6523,-0.0246000000000004,8.4426,8.4408,0.001800000000001134,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Merced,6.0173,5.9821,0.035199999999999676,6.3433,6.325,0.018299999999999983,6.5656,6.5038,0.061799999999999855,8.279,8.2588,0.020199999999999108,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Modesto,5.918,5.9065,0.011499999999999844,6.2437,6.1923,0.051399999999999224,6.4487,6.4113,0.03739999999999988,8.3944,8.3671,0.027299999999998548,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Napa,6.2848,6.2506,0.03419999999999934,6.4728,6.445,0.027800000000000047,6.6669,6.6433,0.023600000000000065,8.659,8.6449,0.01410000000000089,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Oakland,6.2012,6.1682,0.03300000000000036,6.4387,6.4206,0.01809999999999956,6.6466,6.6165,0.030100000000000016,8.6746,8.6562,0.01839999999999975,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Orange County,6.1603,6.1423,0.018000000000000682,6.3793,6.3533,0.0259999999999998,6.5379,6.5179,0.019999999999999574,8.329,8.3046,0.024399999999999977,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Redding,5.8991,5.8875,0.01159999999999961,6.0988,6.0644,0.034399999999999764,6.2575,6.2679,-0.010399999999999743,8.3003,8.2882,0.012100000000000222,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Riverside,6.0756,6.0554,0.020199999999999996,6.3058,6.2821,0.023699999999999832,6.4848,6.4654,0.019400000000000084,8.3226,8.2969,0.025699999999998724,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Sacramento,6.0607,6.0376,0.023099999999999454,6.3049,6.2912,0.013700000000000045,6.5266,6.5038,0.022800000000000153,8.3933,8.3817,0.01159999999999961,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Salinas,6.2901,6.2659,0.024199999999999555,6.4762,6.4641,0.012100000000000222,6.7098,6.6771,0.03270000000000017,8.6729,8.6761,-0.0031999999999996476,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,San Bernardino,6.063,6.0455,0.01750000000000007,6.2946,6.2667,0.027899999999999814,6.4864,6.4573,0.02909999999999968,8.3098,8.2869,0.02289999999999992,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,San Diego,6.1996,6.1866,0.0129999999999999,6.4225,6.4023,0.020199999999999996,6.6184,6.5975,0.02090000000000014,8.2305,8.2195,0.010999999999999233,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,San Francisco,6.3079,6.2693,0.038599999999999746,6.5329,6.4879,0.04499999999999993,6.7343,6.6908,0.04349999999999987,8.8864,8.8699,0.016500000000000625,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,San Jose,6.1319,6.108,0.023900000000000254,6.3605,6.3253,0.035199999999999676,6.5414,6.519,0.022400000000000198,8.6981,8.6631,0.03500000000000014,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,San Luis Obispo-Atascadero-Paso Robles,6.3441,6.3174,0.026699999999999946,6.5647,6.4964,0.0682999999999998,6.7366,6.7125,0.024099999999999788,8.772,8.7682,0.0038000000000000256,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,San Rafael,6.3358,6.2782,0.057599999999999874,6.5297,6.4914,0.038300000000000445,6.7368,6.7025,0.0343,8.952,8.9076,0.04439999999999955,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Santa Barbara-Santa Maria-Lompoc,6.1631,6.1351,0.02799999999999958,6.3066,6.3139,-0.007299999999999862,6.5083,6.4856,0.022700000000000387,8.3847,8.3787,0.006000000000000227,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Santa Cruz-Watsonville,6.1167,6.0889,0.027800000000000047,6.4416,6.3792,0.06240000000000023,6.6276,6.607,0.02059999999999995,8.6661,8.6396,0.026500000000000412,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Santa Rosa,6.3674,6.3272,0.04019999999999957,6.5813,6.5378,0.04349999999999987,6.7606,6.7396,0.020999999999999908,8.8305,8.7999,0.030600000000001515,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Stockton-Lodi,5.9924,5.9552,0.037200000000000344,6.2794,6.2208,0.05860000000000021,6.4761,6.4286,0.04749999999999943,8.3417,8.3107,0.030999999999998806,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Vallejo-Fairfield,6.0859,6.0521,0.033799999999999386,6.3416,6.3072,0.034399999999999764,6.5543,6.5178,0.03649999999999931,8.5416,8.5622,-0.02059999999999995,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Ventura,6.1065,6.0832,0.023299999999999876,6.3182,6.2943,0.023900000000000254,6.5032,6.4687,0.03449999999999953,8.3023,8.2835,0.018800000000000594,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Visalia-Tulare-Porterville,6.1145,6.0866,0.027899999999999814,6.3435,6.3211,0.02239999999999931,6.5574,6.5475,0.00990000000000002,8.4513,8.4203,0.031000000000000583,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Yolo,6.0558,6.0154,0.04039999999999999,6.3042,6.269,0.035199999999999676,6.5284,6.4901,0.038300000000000445,8.384,8.4135,-0.029500000000000526,,,,U.S Dollar,US Gallon,2026-09-19
California,CA,Yuba City,5.8176,5.7765,0.04109999999999925,6.1045,5.9903,0.11419999999999941,6.2859,6.2934,-0.007500000000000284,8.2105,8.1435,0.06700000000000017,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Boulder-Longmont,4.4146,4.4155,-0.0008999999999996788,4.8319,4.8387,-0.006800000000000139,5.1883,5.1851,0.0031999999999996476,6.1266,6.0942,0.032399999999999984,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Colorado Springs,4.2877,4.3354,-0.047699999999999854,4.6846,4.7291,-0.044500000000000206,5.0138,5.0606,-0.046800000000000175,6.1216,6.1272,-0.005600000000000271,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Denver,4.2975,4.3574,-0.05989999999999984,4.7315,4.79,-0.05850000000000044,5.069,5.1149,-0.04589999999999961,6.1144,6.1004,0.014000000000000234,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Durango,4.8066,4.7655,0.041100000000000136,4.937,4.9744,-0.03739999999999988,5.2617,5.2598,0.0019000000000000128,6.3846,6.349,0.03559999999999963,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Fort Collins-Loveland,4.3445,4.3655,-0.020999999999999908,4.7318,4.7623,-0.03049999999999997,5.0897,5.1151,-0.02540000000000031,6.0711,6.0651,0.006000000000000227,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Glenwood Springs,4.8954,4.899,-0.0035999999999996035,5.5115,5.5165,-0.004999999999999893,5.7234,5.726,-0.0026000000000001577,6.3178,6.2165,0.10130000000000017,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Grand Junction (CO only),4.4403,4.4595,-0.01920000000000055,4.7866,4.799,-0.01240000000000041,5.1507,5.1634,-0.0127000000000006,6.2428,6.1815,0.06130000000000013,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Greeley,4.2576,4.3316,-0.07399999999999984,4.6274,4.6831,-0.05569999999999986,4.9279,5.0111,-0.08319999999999972,6.1078,6.0974,0.010399999999999743,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Pueblo,4.172,4.2267,-0.054700000000000415,4.566,4.5981,-0.032099999999999795,4.8875,4.9375,-0.04999999999999982,6.0025,5.9726,0.029900000000000482,,,,U.S Dollar,US Gallon,2026-09-19
Colorado,CO,Vail,4.7035,4.7126,-0.009100000000000108,5.077,5.087,-0.009999999999999787,5.4012,5.3657,0.035499999999999865,6.3847,6.329,0.05569999999999986,,,,U.S Dollar,US Gallon,2026-09-19
Connecticut,CT,Bridgeport,4.5807,4.5795,0.0011999999999998678,5.1503,5.1662,-0.015900000000000247,5.5823,5.5995,-0.017199999999999882,6.507,6.456,0.05099999999999927,,,,U.S Dollar,US Gallon,2026-09-19
Connecticut,CT,Hartford,4.4817,4.4842,-0.002500000000000391,5.0818,5.0655,0.016300000000000203,5.5155,5.5134,0.002100000000000435,6.4547,6.4202,0.03449999999999953,,,,U.S Dollar,US Gallon,2026-09-19
Connecticut,CT,Lower Fairfield County,4.5712,4.5721,-0.0008999999999996788,5.1573,5.1484,0.008900000000000574,5.5705,5.5668,0.0037000000000002586,6.5492,6.4804,0.06879999999999953,,,,U.S Dollar,US Gallon,2026-09-19
Connecticut,CT,New Haven-Meriden,4.4713,4.4731,-0.0017999999999993577,5.0243,5.028,-0.0036999999999993705,5.4216,5.3814,0.04019999999999957,6.3995,6.3574,0.04209999999999958,,,,U.S Dollar,US Gallon,2026-09-19
Connecticut,CT,New London-Norwich (CT only),4.4899,4.4817,0.008199999999999541,5.0202,4.9999,0.020299999999999763,5.4715,5.4455,0.0259999999999998,6.4433,6.3946,0.04870000000000019,,,,U.S Dollar,US Gallon,2026-09-19
Connecticut,CT,Windham,4.5203,4.5134,0.006899999999999906,5.0601,5.0432,0.01690000000000058,5.4498,5.4272,0.02259999999999973,6.3951,6.3263,0.06880000000000042,,,,U.S Dollar,US Gallon,2026-09-19
District of Columbia,DC,Washington (DC only),4.4293,4.4047,0.02459999999999951,5.0447,5.0614,-0.01670000000000016,5.4647,5.4311,0.03359999999999985,6.5047,6.5183,-0.013600000000000279,,,,U.S Dollar,US Gallon,2026-09-19
District of Columbia,DC,Washington (Entire Metro Average),4.27,4.2633,0.006699999999999484,4.8159,4.8213,-0.005399999999999849,5.1844,5.1736,0.010799999999999699,6.4343,6.4012,0.03310000000000013,,,,U.S Dollar,US Gallon,2026-09-19
Delaware,DE,Dover,4.3762,4.3786,-0.0023999999999997357,4.852,4.845,0.007000000000000561,5.2087,5.2304,-0.021700000000000053,6.3981,6.3593,0.03880000000000017,,,,U.S Dollar,US Gallon,2026-09-19
Delaware,DE,Milford-Seaford,4.3747,4.3737,0.0009999999999994458,4.8118,4.7995,0.012299999999999756,5.1946,5.1861,0.008500000000000618,6.3956,6.357,0.038599999999999746,,,,U.S Dollar,US Gallon,2026-09-19
Delaware,DE,Wilmington-Newark (DE only),4.3591,4.3657,-0.006600000000000605,5.0461,5.0431,0.0030000000000001137,5.3294,5.3331,-0.0037000000000002586,6.4216,6.4145,0.00709999999999944,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Bradenton-Sarasota-Venice,4.3245,4.362,-0.03750000000000053,4.809,4.8441,-0.03509999999999991,5.1322,5.1481,-0.015900000000000247,6.3443,6.3621,-0.01780000000000026,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Crestview-Fort Walton Beach,4.0623,4.071,-0.008700000000000152,4.4834,4.5069,-0.0235000000000003,4.9076,4.9118,-0.0041999999999999815,6.138,6.1398,-0.0018000000000002458,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Daytona Beach,4.3521,4.3703,-0.018200000000000216,4.8073,4.822,-0.01470000000000038,5.1555,5.1642,-0.008700000000000152,6.3721,6.3956,-0.0235000000000003,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Fort Lauderdale,4.3645,4.3613,0.0031999999999996476,4.8002,4.7865,0.013700000000000045,5.093,5.0948,-0.0018000000000002458,6.3955,6.3945,0.001000000000000334,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Fort Myers-Cape Coral,4.3315,4.3563,-0.024799999999999933,4.8129,4.8297,-0.016799999999999926,5.1105,5.1237,-0.013200000000000323,6.3337,6.3694,-0.0356999999999994,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Gainesville,4.3831,4.3969,-0.013799999999999812,4.8477,4.8536,-0.00590000000000046,5.2607,5.2506,0.010099999999999554,6.3994,6.4169,-0.01750000000000007,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Homosassa Springs,4.3848,4.4031,-0.018299999999999983,4.8035,4.8415,-0.038000000000000256,5.151,5.1887,-0.03770000000000007,6.3676,6.3728,-0.005199999999999427,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Jacksonville,4.3348,4.3589,-0.024099999999999788,4.7597,4.784,-0.02430000000000021,5.1236,5.1311,-0.007500000000000284,6.3142,6.3412,-0.027000000000000135,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Lakeland-Winter Haven,4.3325,4.3575,-0.025000000000000355,4.7703,4.7886,-0.018299999999999983,5.1272,5.1462,-0.019000000000000128,6.3222,6.3483,-0.026100000000000456,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Melbourne-Titusville,4.3396,4.3577,-0.01810000000000045,4.7951,4.8235,-0.028400000000000425,5.1287,5.1463,-0.017599999999999838,6.4035,6.4333,-0.029799999999999827,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Miami,4.2738,4.2745,-0.000700000000000145,4.7056,4.6925,0.013099999999999667,4.9186,4.9208,-0.002200000000000202,6.3342,6.3261,0.008099999999999774,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Naples,4.3884,4.4015,-0.013100000000000556,4.8696,4.8659,0.0037000000000002586,5.1808,5.1729,0.007899999999999352,6.3927,6.3964,-0.0037000000000002586,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Ocala,4.3733,4.3856,-0.012299999999999756,4.8131,4.829,-0.01589999999999936,5.1785,5.1975,-0.019000000000000128,6.3717,6.4006,-0.028900000000000148,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Orlando,4.3333,4.3655,-0.03219999999999956,4.7696,4.8089,-0.03930000000000078,5.0879,5.1271,-0.039200000000000124,6.3183,6.3526,-0.0343,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Panama City,4.0394,4.059,-0.019600000000000506,4.4847,4.5114,-0.026699999999999946,4.9138,4.9237,-0.00990000000000002,6.1015,6.1093,-0.007800000000000473,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Pensacola,4.0607,4.0665,-0.005799999999999805,4.5131,4.5317,-0.018600000000000172,4.8891,4.9045,-0.015399999999999636,6.158,6.1695,-0.011499999999999844,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Port St. Lucie,4.3565,4.3652,-0.008700000000000152,4.8114,4.8212,-0.009800000000000253,5.1305,5.1243,0.006199999999999761,6.3907,6.4166,-0.025900000000000034,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Punta Gorda,4.3177,4.3551,-0.03739999999999988,4.8064,4.8305,-0.024099999999999788,5.1209,5.1403,-0.019400000000000084,6.3256,6.328,-0.002400000000000624,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Sebastian-Vero Beach,4.3525,4.3509,0.0015999999999998238,4.8509,4.8517,-0.0007999999999999119,5.199,5.198,0.0009999999999994458,6.3754,6.3941,-0.01869999999999994,,,,U.S Dollar,US Gallon,2026-09-19
Florida,FL,Sebring,4.3414,4.3567,-0.01529999999999987,4.8303,4.8061,0.024200000000000443,5.1373,5.1179,0.019400000000000084,6.3411,6.3554,-0.014300000000000423,,,,U.S Dollar,US Gallon,2026-09-19
